ALL,NON-FRAUD,FRAUD
109,1.8260170915199767e-05,1.8439977872026555e-05,0.0
97,1.8260170915199767e-05,1.8439977872026555e-05,0.0
89,1.8260170915199767e-05,1.8439977872026555e-05,0.0
84,1.8260170915199767e-05,1.8439977872026555e-05,0.0
71,1.8260170915199767e-05,1.8439977872026555e-05,0.0
69,1.8260170915199767e-05,1.8439977872026555e-05,0.0
65,3.652034183039953e-05,3.687995574405311e-05,0.0
62,1.8260170915199767e-05,0.0,0.0
54,3.652034183039953e-05,3.687995574405311e-05,0.0
53,1.8260170915199767e-05,1.8439977872026555e-05,0.0
52,5.4780512745599296e-05,5.531993361607966e-05,0.0
50,1.8260170915199767e-05,1.8439977872026555e-05,0.0
44,1.8260170915199767e-05,1.8439977872026555e-05,0.0
43,1.8260170915199767e-05,1.8439977872026555e-05,0.0
41,3.652034183039953e-05,3.687995574405311e-05,0.0
40,1.8260170915199767e-05,1.8439977872026555e-05,0.0
39,1.8260170915199767e-05,1.8439977872026555e-05,0.0
38,3.652034183039953e-05,3.687995574405311e-05,0.0
37,3.652034183039953e-05,3.687995574405311e-05,0.0
36,5.4780512745599296e-05,5.531993361607966e-05,0.0
35,3.652034183039953e-05,3.687995574405311e-05,0.0
34,7.304068366079907e-05,7.375991148810622e-05,0.0
33,3.652034183039953e-05,3.687995574405311e-05,0.0
31,0.00010956102549119859,0.00011063986723215932,0.0
30,1.8260170915199767e-05,1.8439977872026555e-05,0.0
29,3.652034183039953e-05,3.687995574405311e-05,0.0
28,3.652034183039953e-05,3.687995574405311e-05,0.0
27,9.130085457599883e-05,9.219988936013277e-05,0.0
26,0.00018260170915199766,0.00018439977872026554,0.0
25,3.652034183039953e-05,3.687995574405311e-05,0.0
24,0.00012782119640639836,0.00012907984510418587,0.0
23,7.304068366079907e-05,7.375991148810622e-05,0.0
22,0.00010956102549119859,9.219988936013277e-05,0.0
21,9.130085457599883e-05,9.219988936013277e-05,0.0012515644555694619
20,0.00012782119640639836,0.00012907984510418587,0.0
19,9.130085457599883e-05,9.219988936013277e-05,0.0
18,0.0002739025637279965,0.0002765996680803983,0.0
17,0.0003286830764735958,0.000331919601696478,0.0
16,0.0002556423928127967,0.00025815969020837173,0.0
15,0.0003286830764735958,0.00031347962382445143,0.0
14,0.0005660652983711928,0.0005716393140328232,0.0
13,0.0005843254692863925,0.0005900792919048498,0.0
12,0.0005112847856255934,0.000497879402544717,0.0012515644555694619
11,0.0008034475202687897,0.0007929190484971419,0.0
10,0.0010590899130815865,0.0010879586944495666,0.0
9,0.001332992476809583,0.001327678406785912,0.0
8,0.0020086188006719742,0.002028397565922921,0.0012515644555694619
7,0.002757285808195165,0.0027475567029319565,0.0012515644555694619
6,0.005058067343510335,0.00492347409183109,0.0050062578222778474
5,0.015320283397852604,0.01519454176654988,0.0012515644555694619
4,0.019867065955737347,0.01947261663286004,0.017521902377972465
3,0.04393397122197064,0.04408998709201549,0.026282853566958697
2,0.262800379811555,0.2593767287479255,0.26533166458072593
1,0.6404024541669711,0.6443297068043519,0.6795994993742178
